name,osmid,highway,oneway,length,bridge,geometry,maxspeed,lanes,ref,junction,tunnel,access,u,v,key,list?,detid
Coolhaven,"[275218656, 275218657, 485230373, 131425800, 131425801, 185437744, 66676466, 7515220, 7515194, 510802587]",residential,False,384.67600000000004,,"LINESTRING (4.4600354 51.9100091, 4.4599871 51.9099363, 4.4599258 51.9098678, 4.4598296 51.9097894, 4.4597625 51.9097339, 4.4595969 51.909595, 4.4595027 51.9095203, 4.4594693 51.9095021, 4.4593827 51.9094721, 4.4590738 51.9093915, 4.4586963 51.909287, 4.4583188 51.9091842, 4.4576407 51.9090035, 4.4575593 51.9089811, 4.457369 51.9089289, 4.457155 51.9088703, 4.4568394 51.9087884, 4.4561599 51.9086136, 4.4560474 51.9085819, 4.4559903 51.9085733, 4.4559462 51.9085714, 4.4557169 51.9085928, 4.4556851 51.9087077, 4.4556484 51.9088402, 4.4556193 51.9089177)",30,,,,building_passage,,614472122,44345311,0,False,
1e Middellandstraat,7527006,tertiary,True,39.160000000000004,,"LINESTRING (4.4603703 51.9184846, 4.4607349 51.9185573, 4.4609127 51.9185946)",,,,,,,44390842,3460108474,0,False,
Kogelvangerstraat,7526710,residential,False,51.247,,"LINESTRING (4.4647657 51.9184559, 4.4640219 51.9185)",30,,,,,,44390844,44391360,0,False,
Korte Bajonetstraat,7526714,residential,False,83.958,,"LINESTRING (4.4647657 51.9184559, 4.4647555 51.9186808, 4.4646 51.9189, 4.4644994 51.9191841)",30,,,,,,44390844,44394534,0,False,
Bajonetstraat,7526919,residential,True,129.775,,"LINESTRING (4.4647657 51.9184559, 4.4647225 51.918217, 4.4645559 51.917296)",30,,,,,,44390844,44386128,0,False,
Rochussenstraat,7515451,tertiary,True,7.605,,"LINESTRING (4.459975 51.9103936, 4.460034 51.9104515)",50,,,,,,614472126,603161240,0,False,
G.J. de Jonghweg,48377502,tertiary,True,31.514000000000003,,"LINESTRING (4.459975 51.9103936, 4.4598537 51.9104433, 4.459816 51.9104587, 4.4597618 51.9104749, 4.45957 51.9105251)",50,,,,,,614472126,44352721,0,False,
Adrianastraat,"[7526820, 7515247]",residential,True,277.194,,"LINESTRING (4.4654716 51.9183912, 4.4652374 51.917245, 4.4652271 51.9171952, 4.4651941 51.9169814, 4.4650293 51.9159136)",30,,,,,,44390846,44379340,0,False,
Kogelvangerstraat,7526821,residential,True,49.004999999999995,,"LINESTRING (4.4654716 51.9183912, 4.4650243 51.9184429, 4.4647657 51.9184559)",30,,,,,,44390846,44390844,0,False,
Van Speykstraat,"[7526832, 7515246, 746093711]",residential,True,251.54500000000002,,"LINESTRING (4.4662824 51.9184717, 4.4662732 51.9183358, 4.4662005 51.9173987, 4.4661837 51.917148, 4.4661821 51.9171302, 4.4661344 51.9162114)",30,,,,,,44390848,44380787,0,False,
Van Speykstraat,7526903,residential,True,161.931,,"LINESTRING (4.4662824 51.9184717, 4.4662852 51.9185099, 4.4663543 51.9199273)",30,,,,,,44390848,44397430,0,False,
's-Gravenweg,7311922,residential,False,251.76,,"LINESTRING (4.5553649 51.9219725, 4.5554827 51.9220964, 4.555561 51.9221703, 4.555599 51.9222016, 4.555644 51.9222371, 4.5557078 51.922285, 4.555774 51.9223276, 4.5558283 51.9223581, 4.5561518 51.9225202, 4.5565848 51.9227337, 4.557327 51.9230886, 4.5581023 51.923457)",,,,,,,44407233,44414546,0,False,
's-Gravenweg,"[273619419, 273619420, 357374427]",unclassified,False,58.269,yes,"LINESTRING (4.5553649 51.9219725, 4.5552709 51.9219854, 4.5551241 51.9220026, 4.5550368 51.9220127, 4.5549769 51.9220178, 4.5549617 51.9220191, 4.5548752 51.9220224, 4.5546815 51.9220272, 4.5546253 51.9220268, 4.5545782 51.9220246, 4.5545233 51.9220201)",30,,,,,,44407233,44407199,0,False,
Lilian Ngoyiweg,357374428,residential,False,59.826,,"LINESTRING (4.5553649 51.9219725, 4.5558514 51.9219103, 4.555882 51.9219071, 4.5559175 51.9219047, 4.5559637 51.921903, 4.5562259 51.921911)",,,,,,,44407233,44407216,0,False,
Kogelvangerstraat,7525761,residential,True,44.251,,"LINESTRING (4.4669274 51.9184613, 4.4662824 51.9184717)",,,,,,,44390849,44390848,0,False,
Gordelpad,70130123,living_street,False,61.662000000000006,,"LINESTRING (4.4615204 51.9372163, 4.4611447 51.9370778, 4.4608353 51.9369595, 4.4607517 51.9369284)",15,,,,,,837687748,837687723,0,False,
Willem Buytewechstraat,"[706231073, 143058690, 691289623, 706231064, 706231070, 397540191]",secondary,False,74.738,yes,"LINESTRING (4.4628854 51.9080189, 4.4629478 51.9080351, 4.4631398 51.9080851, 4.4633091 51.9081292, 4.463469 51.9081717, 4.4635319 51.9081884, 4.4635622 51.908196, 4.4636232 51.9082115, 4.4636592 51.9082209, 4.4637164 51.9082363, 4.4637703 51.9082493, 4.4638904 51.9082783)",50,,S114,,,,4003289547,44342667,0,False,
Willem Buytewechstraat,"[691289625, 88604716]",secondary,True,32.478,,"LINESTRING (4.4628854 51.9080189, 4.4628172 51.9080082, 4.4627357 51.9080006, 4.4626856 51.9079856, 4.4626425 51.9079693, 4.4626175 51.9079555, 4.4625926 51.9079327, 4.4625855 51.9079209, 4.4625806 51.9079055, 4.4626015 51.9078512)",50,,S114,,,,4003289547,582611825,0,False,
